num,street,type,City,Zip,Page,lat,lng,Address
829,Doc Miller,Road,Blue Eye,65611,24,36.502346,-93.418544,829 Doc Miller Rd
150,Grace Chapel,Road,Blue Eye,65611,24,36.51663183,-93.38383954,150 Grace Chaple
61,Lake Hills,Point,Lampe ,65681,24,36.54730609,-93.42923117,61 Lake Hill Point
1579,Lake Hills,Point,Lampe ,65681,24,36.56233751,-93.41249261,1579 Lake Hills Point 
1364,MO 13,,Blue Eye,65611,24,36.51230236,-93.39916621,1364 State Hwy 13
1429,MO 13,,Blue Eye,65611,24,36.51235486,-93.40293286,1429 State Hwy 13
1438,MO 13,,Blue Eye,65611,24,36.51251796,-93.40281553,1438 State Hwy 13
1742,MO 13,,Blue Eye,65611,24,36.51259209,-93.40782478,1742 State Hwy 13
5226,MO 86,,Blue Eye,65611,24,36.53070776,-93.32044251,5226 W State Hwy 86
155,Clearview,Drive,Blue Eye,65611,25,36.53257961,-93.37563342,155 Clearview Dr 1
35,Divine,Way,Blue Eye,65611,25,36.53602009,-93.37149926,35 Divine way 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,25,36.5179394,-93.3842518,180 Grace Chaple 
53,Spring,Road,Blue Eye,65611,25,36.57353862,-93.49586993,53 Spring Rd
49,Fellowship,Lane,Blue Eye,65611,26,36.52053885,-93.37706908,49 Fellowship 
95,Fellowship,Lane,Blue Eye,65611,26,36.52127405,-93.37727156,95 Fellowship Rd
141,Fellowship,Lane,Blue Eye,65611,26,36.5210055,-93.3774166,141 Fellowship 
180,Grace Chapel,Road,Blue Eye,65611,26,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,26,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,26,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,26,36.5179394,-93.3842518,180 Grace Chaple 
180,Grace Chapel,Road,Blue Eye,65611,26,36.5179394,-93.3842518,180 Grace Chaple 
1114,MO 13,,Blue Eye,65611,26,36.51130048,-93.39550119,1114 State Hwy 13
188,Youngblood,Drive,Blue Eye,65611,26,36.5391331,-93.36058388,188 Youngblood Dr
205,Glen Oaks,Drive,Blue Eye,65611,27,36.53636676,-93.32687531,205 Glen Oaks 
104,Huskey,Drive,Blue Eye,65611,27,36.502585,-93.39825727,104 Huskey
74,Lake Hills,Point,Lampe ,65681,27,36.557869,-93.418285,74 Lake Hills Pt Lane
74,Lake Hills,Point,Lampe ,65681,27,36.557869,-93.418285,74 Lake Hills Pt Lane
10532,State Highway 86,,Blue Eye,65611,27,,,10532 E State Hwy 86
753,Schodack,Road,Lampe ,65681,28,36.572405,-93.4967131,753 Schodack Rd
146,Hodges,Lane,,65737,29,,,146 Shadow Valley Dr
